31 -1000000
-31 -1000000
-94 -1000000
-157 -1000000
-220 -1000000
-283 -1000000
-346 -1000000
-408 -1000000
-471 -1000000
-534 -1000000
-597 -1000000
-660 -1000000
-723 -1000000
-785 -1000000
-848 -1000000
-911 -1000000
-974 -1000000
-1037 -999999
-1100 -999999
-1162 -999999
-1225 -999999
-1288 -999999
-1351 -999999
-1414 -999999
-1477 -999999
-1539 -999999
-1602 -999999
-1665 -999999
-1728 -999999
-1791 -999998
-1854 -999998
-1916 -999998
-1979 -999998
-2042 -999998
-2105 -999998
-2168 -999998
-2231 -999998
-2293 -999997
-2356 -999997
-2419 -999997
-2482 -999997
-2545 -999997
-2608 -999997
-2670 -999996
-2733 -999996
-2796 -999996
-2859 -999996
-2922 -999996
-2985 -999996
-3047 -999995
-3110 -999995
-3173 -999995
-3236 -999995
-3299 -999995
-3361 -999994
-3424 -999994
-3487 -999994
-3550 -999994
-3613 -999993
-3676 -999993
-3738 -999993
-3801 -999993
-3864 -999993
-3927 -999992
-3990 -999992
-4053 -999992
-4115 -999992
-4178 -999991
-4241 -999991
-4304 -999991
-4367 -999990
-4430 -999990
-4492 -999990
-4555 -999990
-4618 -999989
-4681 -999989
-4744 -999989
-4807 -999988
-4869 -999988
-4932 -999988
-4995 -999988
-5058 -999987
-5121 -999987
-5184 -999987
-5246 -999986
-5309 -999986
-5372 -999986
-5435 -999985
-5498 -999985
-5561 -999985
-5623 -999984
-5686 -999984
-5749 -999983
-5812 -999983
-5875 -999983
-5938 -999982
-6000 -999982
-6063 -999982
-6126 -999981
-6189 -999981
-6252 -999980
-6315 -999980
-6377 -999980
-6440 -999979
-6503 -999979
-6566 -999978
-6629 -999978
-6692 -999978
-6754 -999977
-6817 -999977
-6880 -999976
-6943 -999976
-7006 -999975
-7069 -999975
-7131 -999975
-7194 -999974
-7257 -999974
-7320 -999973
-7383 -999973
-7446 -999972
-7508 -999972
-7571 -999971
-7634 -999971
-7697 -999970
-7760 -999970
-7822 -999969
-7885 -999969
-7948 -999968
-8011 -999968
-8074 -999967
-8137 -999967
-8199 -999966
-8262 -999966
-8325 -999965
-8388 -999965
-8451 -999964
-8514 -999964
-8576 -999963
-8639 -999963
-8702 -999962
-8765 -999962
-8828 -999961
-8891 -999960
-8953 -999960
-9016 -999959
-9079 -999959
-9142 -999958
-9205 -999958
-9268 -999957
-9330 -999956
-9393 -999956
-9456 -999955
-9519 -999955
-9582 -999954
-9645 -999953
-9707 -999953
-9770 -999952
-9833 -999952
-9896 -999951
-9959 -999950
-10022 -999950
-10084 -999949
-10147 -999949
-10210 -999948
-10273 -999947
-10336 -999947
-10398 -999946
-10461 -999945
-10524 -999945
-10587 -999944
-10650 -999943
-10713 -999943
-10775 -999942
-10838 -999941
-10901 -999941
-10964 -999940
-11027 -999939
-11090 -999939
-11152 -999938
-11215 -999937
-11278 -999936
-11341 -999936
-11404 -999935
-11467 -999934
-11529 -999934
-11592 -999933
-11655 -999932
-11718 -999931
-11781 -999931
-11844 -999930
-11906 -999929
-11969 -999928
-12032 -999928
-12095 -999927
-12158 -999926
-12220 -999925
-12283 -999925
-12346 -999924
-12409 -999923
-12472 -999922
-12535 -999921
-12597 -999921
-12660 -999920
